job_pref,last_yr_income,expected_earn,reasons_to_code,months_programming,bootcamp_attend,age,gender
work for a medium-sized company,0,40000,To succeed in current career,2,0,21,Male
work for a multinational corporation,20000,80000,To change careers,0,0,25,Male
work for a nonprofit,7000,10000,To change careers,8,0,30,Female
work for a multinational corporation,30000,60000,As a hobby,24,0,32,Male
work for a multinational corporation,3636,7200,To change careers,1,0,29,Male
work for a startup,20000,55000,To change careers,26,0,29,Male
work for a medium-sized company,0,10000,To change careers,1,0,48,Female
work for a multinational corporation,3500,1000,To start a business or to freelance,2,0,18,Male
work for a nonprofit,60000,70000,To change careers,0,0,29,Female
work for a multinational corporation,8000,70000,To start a business or to freelance,12,0,21,Female
work for a multinational corporation,63000,75000,To change careers,0,0,27,Female
work for a nonprofit,26000,35000,To start a business or to freelance,20,0,40,Male
work for a startup,35000,65000,To change careers,0,0,26,Female
work for a medium-sized company,50000,27000,To change careers,8,0,51,Male
work for a multinational corporation,2000,70000,To change careers,3,0,43,Male
work for a medium-sized company,70000,65000,To succeed in current career,36,0,35,Male
work for a medium-sized company,25000,40000,To change careers,1,0,26,Female
work for a government,8000,70000,As a hobby,13,0,19,Male
work for a startup,25000,40000,To start a business or to freelance,0,0,26,Female
work for a multinational corporation,32000,60000,To change careers,3,0,27,Female
work for a medium-sized company,20000,40000,To change careers,3,0,21,Female
work for a medium-sized company,45000,45000,To change careers,3,0,48,Male
work for a medium-sized company,79000,65000,As a hobby,1,0,34,Male
work for a medium-sized company,24000,45000,To change careers,6,0,31,Male
work for a nonprofit,31300,20000,To change careers,0,0,28,Female
work for a startup,30000,40000,To change careers,0,0,24,Male
work for a startup,15000,40000,To start a business or to freelance,2,0,30,Male
work for a medium-sized company,4000,40000,As a hobby,0,0,20,Female
work for a startup,40000,60000,To succeed in current career,24,0,28,Male
work for a medium-sized company,30000,80000,As a hobby,0,0,28,Female
work for a multinational corporation,2000,1500,To change careers,0,0,31,Male
work for a nonprofit,5000,8000,To change careers,9,0,27,Male
work for a multinational corporation,0,400,To start a business or to freelance,24,0,23,Male
work for a multinational corporation,1200,700000,To change careers,3,0,34,Male
work for a startup,55,300,To succeed in current career,2,0,21,Male
work for a medium-sized company,30000,50000,To change careers,1,0,29,Female
work for a multinational corporation,50000,60000,To change careers,3,0,36,Female
work for a medium-sized company,25000,30000,To change careers,6,0,25,Male
work for a multinational corporation,20000,50000,To change careers,7,0,25,Male
work for a startup,20,800,To start a business or to freelance,1,0,20,Male
work for a startup,2000,50000,To change careers,2,0,38,Female
work for a government,29000,50000,As a hobby,0,0,25,Male
work for a startup,4000,15000,To change careers,4,1,25,Female
work for a multinational corporation,450,1000,To succeed in current career,4,0,28,Male
work for a startup,300,100000,To change careers,1,0,29,Male
work for a startup,120000,50000,To succeed in current career,0,0,47,Male
work for a medium-sized company,115000,60000,To change careers,3,0,30,Male
work for a medium-sized company,8500,11000,To change careers,30,0,27,Female
work for a multinational corporation,5000,70000,To create art or entertainment,3,0,25,Female
work for a startup,10000,18000,To start a business or to freelance,0,0,25,Female
work for a startup,4103,60000,To start a business or to freelance,48,0,27,Male
work for a medium-sized company,11000,128000,To change careers,4,0,28,Female
work for a multinational corporation,2000,90000,To succeed in current career,0,0,18,Male
work for a government,40000,70000,To change careers,0,0,41,Male
work for a medium-sized company,30000,65000,To change careers,3,0,26,Male
work for a medium-sized company,26000,40000,To change careers,3,0,33,Male
work for a startup,75000,85000,To change careers,1,0,31,Male
work for a medium-sized company,27000,40000,To change careers,6,0,25,Male
work for a startup,96000,75000,To change careers,15,1,44,Male
work for a startup,6000,30000,To change careers,1,0,26,Male
work for a startup,30000,60000,To change careers,8,0,26,Male
work for a startup,35000,75000,To change careers,4,0,51,Male
work for a government,45000,50000,As a hobby,12,0,59,Male
work for a startup,12000,60000,To change careers,10,1,24,Male
work for a medium-sized company,20000,30000,To change careers,2,0,25,Male
work for a medium-sized company,15000,40000,To meet school requirements,2,0,21,Male
work for a startup,18000,40000,To change careers,9,0,26,Male
work for a medium-sized company,20000,50000,To change careers,2,0,27,Male
work for a startup,120000,70000,To change careers,3,0,29,Male
work for a medium-sized company,10000,100000,To change careers,12,0,55,Male
work for a startup,130000,100000,To change careers,3,0,31,Male
work for a medium-sized company,45000,65000,To change careers,0,0,37,Male
work for a medium-sized company,24000,24000,To create art or entertainment,4,0,23,Prefer not to say
work for a multinational corporation,9600,18000,To change careers,0,0,29,Male
work for a multinational corporation,100000,75000,To change careers,5,0,44,Male
work for a startup,6000,70000,As a hobby,6,0,25,Male
work for a multinational corporation,6000,60000,To change careers,4,0,26,Male
work for a medium-sized company,10000,70000,To succeed in current career,12,1,32,Male
work for a nonprofit,38000,60000,To change careers,18,0,24,Male
work for a medium-sized company,36000,94000,To change careers,1,0,22,Male
work for a medium-sized company,18000,20000,To change careers,1,0,20,Female
work for a medium-sized company,4316,4400,To succeed in current career,1,0,23,Male
work for a startup,100,1000,To succeed in current career,1,0,20,Male
work for a startup,0,10000,To succeed in current career,70,0,18,Male
work for a startup,50000,85000,To succeed in current career,0,0,38,Male
work for a startup,57000,70000,To change careers,4,0,24,Male
work for a multinational corporation,15000,60000,To change careers,0,0,25,Female
work for a startup,500,500,As a hobby,1,0,22,Female
work for a nonprofit,28000,36000,To change careers,12,0,29,Female
work for a multinational corporation,36000,55000,To succeed in current career,20,0,28,Female
work for a multinational corporation,1000,6000,To succeed in current career,3,0,36,Male
work for a medium-sized company,25000,24000,To change careers,1,0,26,Male
work for a multinational corporation,15000,110000,To change careers,2,0,23,Female
work for a multinational corporation,1309,4000,To succeed in current career,24,0,23,Male
work for a multinational corporation,6000,100000,To change careers,14,0,37,Male
work for a medium-sized company,50000,60000,To change careers,1,0,26,Male
work for a medium-sized company,12000,40000,To change careers,0,0,35,Male
work for a multinational corporation,0,60000,To change careers,12,0,28,Female
work for a multinational corporation,9000,70000,To succeed in current career,0,0,20,Male
work for a startup,18000,40000,To change careers,3,0,25,Female
work for a startup,10000,100000,To change careers,3,0,25,Female
work for a government,8500,12000,To succeed in current career,3,0,27,Female
work for a medium-sized company,34000,50000,To change careers,5,0,31,Male
work for a medium-sized company,35000,55000,To change careers,18,0,47,Male
work for a medium-sized company,10000,15000,To change careers,14,1,33,Male
work for a medium-sized company,80000,70000,To change careers,60,0,35,Male
work for a multinational corporation,0,1000,To succeed in current career,1,0,26,Male
work for a medium-sized company,25000,50000,To change careers,2,0,42,Male
work for a startup,100000,100000,To create art or entertainment,0,0,28,Female
work for a nonprofit,100,50,To change careers,2,0,20,Male
work for a startup,70000,60000,As a hobby,0,0,32,Male
work for a multinational corporation,28000,55000,To succeed in current career,2,0,34,Male
work for a multinational corporation,5000,10000,To change careers,12,0,27,Male
work for a medium-sized company,44000,36000,To change careers,60,0,45,Female
work for a startup,100000,100000,To change careers,4,0,29,Male
work for a startup,3500,4000,To create art or entertainment,18,0,29,Male
work for a medium-sized company,20000,40000,To change careers,18,0,40,Male
work for a startup,12000,40000,To change careers,6,0,32,Female
work for a startup,50000,60000,To change careers,2,0,26,Male
work for a startup,55000,65000,To change careers,6,0,24,Male
work for a multinational corporation,12000,100000,To start a business or to freelance,0,0,21,Male
work for a medium-sized company,53500,50000,To change careers,1,0,26,Male
work for a multinational corporation,35000,60000,To change careers,6,0,24,Male
work for a startup,40000,80000,To change careers,0,0,28,Male
work for a nonprofit,7000,600,To succeed in current career,1,0,42,Female
work for a multinational corporation,10000,80000,To change careers,0,0,25,Female
work for a startup,22000,36000,To change careers,11,0,21,Male
work for a multinational corporation,28000,45000,To change careers,1,0,30,Male
work for a nonprofit,40000,40000,To change careers,6,0,28,Male
work for a multinational corporation,7500,25000,To change careers,2,0,25,Female
work for a startup,30000,60000,To change careers,4,0,24,Male
work for a multinational corporation,33000,70000,To change careers,11,0,27,Female
work for a medium-sized company,45000,40000,To change careers,0,0,29,Male
work for a startup,2000,39025,As a hobby,1,0,20,Male
work for a medium-sized company,10000,0,As a hobby,1,0,26,Male
work for a nonprofit,120000,100000,To change careers,1,0,57,Male
work for a multinational corporation,55,800,To change careers,3,0,34,Female
work for a multinational corporation,50000,24000,To change careers,3,0,30,Male
work for a medium-sized company,52000,90000,As a hobby,96,0,27,Male
work for a medium-sized company,40000,60000,To change careers,0,0,24,Male
work for a nonprofit,29850,45000,To change careers,1,0,23,Female
work for a multinational corporation,75000,60000,To change careers,2,0,30,Male
work for a startup,42000,40000,To change careers,12,0,39,Female
work for a medium-sized company,20000,60000,To change careers,0,0,26,Male
work for a medium-sized company,16000,45000,To change careers,0,0,29,Female
work for a medium-sized company,42000,50000,To succeed in current career,1,0,26,Female
work for a medium-sized company,10000,10000,To change careers,1,0,27,Male
work for a medium-sized company,5000,1000,As a hobby,1,0,26,Male
work for a multinational corporation,15000,50000,To change careers,1,0,22,Male
work for a startup,25000,50000,To change careers,1,0,35,Female
work for a medium-sized company,40000,60000,To change careers,36,0,28,Male
work for a medium-sized company,1500,3000,To succeed in current career,1,0,30,Female
work for a multinational corporation,0,14000,To succeed in current career,10,0,33,Female
work for a nonprofit,16000,6000,As a hobby,1,0,27,Male
work for a nonprofit,45000,78000,To create art or entertainment,2,0,44,Male
work for a startup,10000,2000,To start a business or to freelance,8,0,19,Male
work for a startup,80000,42000,To change careers,9,0,32,Female
work for a medium-sized company,15000,15000,To change careers,4,1,38,Male
work for a multinational corporation,500,2000,To succeed in current career,1,0,23,Male
work for a medium-sized company,15000,20000,To start a business or to freelance,12,0,35,Male
work for a startup,2000,100000,To start a business or to freelance,1,0,28,Male
work for a medium-sized company,95000,80000,To change careers,6,0,50,Male
work for a medium-sized company,42000,50000,To change careers,0,0,26,Male
work for a medium-sized company,34000,34000,To change careers,6,0,27,Male
work for a multinational corporation,0,30000,To succeed in current career,1,0,21,Male
work for a startup,0,6000,To create art or entertainment,12,0,25,Male
work for a multinational corporation,11000,75000,To start a business or to freelance,1,0,20,Male
work for a medium-sized company,52500,45000,As a hobby,123,0,37,Male
work for a medium-sized company,0,32400,To start a business or to freelance,1,0,18,Female
work for a medium-sized company,12000,12000,To change careers,14,0,31,Male
work for a startup,40000,50000,To change careers,1,0,29,Male
work for a startup,15000,1000,To start a business or to freelance,4,0,39,Male
work for a multinational corporation,34000,27000,As a hobby,26,0,25,Male
work for a startup,90000,100000,To change careers,0,0,34,Male
work for a startup,1000,12000,To change careers,0,0,24,Male
work for a multinational corporation,55000,70000,To change careers,0,0,24,Male
work for a multinational corporation,30000,55000,To change careers,6,0,53,Female
work for a startup,60000,70000,To change careers,1,0,42,Male
work for a startup,76000,75000,To change careers,12,0,41,Male
work for a medium-sized company,65000,75000,To change careers,0,0,27,Male
work for a nonprofit,20000,55000,To succeed in current career,6,0,20,Female
work for a medium-sized company,59000,60000,To change careers,4,0,33,Male
work for a medium-sized company,30000,60000,To create art or entertainment,0,0,31,Male
work for a medium-sized company,54000,65000,To change careers,36,0,54,Male
work for a government,90000,50000,As a hobby,0,0,33,Female
work for a medium-sized company,13000,15000,To change careers,2,0,31,Male
work for a nonprofit,20000,0,As a hobby,18,0,62,Female
work for a startup,0,50000,To start a business or to freelance,10,0,31,Male
work for a startup,20000,100000,As a hobby,3,0,21,Male
work for a startup,20,50,To change careers,1,1,21,Female
work for a nonprofit,23000,40000,To create art or entertainment,1,0,33,Female
work for a startup,30000,30000,To change careers,12,0,33,Male
work for a medium-sized company,32000,50000,To change careers,1,0,24,Female
work for a nonprofit,40000,50000,To change careers,8,0,31,Female
work for a medium-sized company,58000,58000,As a hobby,20,0,29,Male
work for a nonprofit,38000,65000,To change careers,1,0,32,Female
work for a medium-sized company,12000,15000,To change careers,1,0,40,Male
work for a medium-sized company,38000,50000,As a hobby,6,0,37,Male
work for a multinational corporation,50000,50000,As a hobby,2,0,32,Male
work for a multinational corporation,5000,65000,To change careers,24,0,30,Male
work for a multinational corporation,18000,20000,To change careers,48,0,31,Male
work for a medium-sized company,6000,500,To change careers,2,0,22,Male
work for a medium-sized company,67000,80000,To change careers,6,0,44,Male
work for a government,27000,48000,To create art or entertainment,1,0,45,Female
work for a multinational corporation,4500,30000,To change careers,3,0,27,Male
work for a medium-sized company,12000,40000,To change careers,0,0,37,Male
work for a startup,40000,40000,To change careers,3,0,27,Male
work for a medium-sized company,250000,75000,To change careers,2,0,60,Male
work for a startup,3447,20000,To change careers,15,0,23,Male
work for a medium-sized company,51000,50000,To change careers,1,0,30,Female
work for a medium-sized company,26000,50000,To change careers,1,0,22,Male
work for a medium-sized company,7000,60000,To change careers,1,0,33,Female
work for a medium-sized company,10000,50000,To succeed in current career,6,0,20,Male
work for a medium-sized company,20000,25000,To change careers,1,0,27,Male
work for a multinational corporation,32000,65000,To create art or entertainment,12,0,25,Male
work for a multinational corporation,44000,55000,To change careers,1,0,25,Male
work for a medium-sized company,24500,32000,To change careers,3,0,26,Male
work for a multinational corporation,60000,80000,To change careers,1,0,30,Male
work for a medium-sized company,48000,45000,To change careers,12,0,30,Female
work for a medium-sized company,65000,63000,As a hobby,6,0,16,Male
work for a multinational corporation,50000,50000,To change careers,24,0,43,Male
work for a medium-sized company,0,500,To meet school requirements,12,0,15,Male
work for a startup,60000,10000,To change careers,3,0,30,Male
work for a medium-sized company,90000,70000,To change careers,1,0,25,Female
work for a startup,0,300,To succeed in current career,0,0,15,Male
work for a government,20000,70000,To change careers,1,0,20,Male
work for a government,45000,80000,To change careers,0,0,46,Male
work for a medium-sized company,38000,80000,To change careers,12,0,24,Male
work for a government,2952,240,As a hobby,4,0,23,Male
work for a medium-sized company,50000,50000,To change careers,6,0,30,Male
work for a multinational corporation,100,300,To succeed in current career,24,0,20,Male
work for a multinational corporation,5000,60000,As a hobby,2,0,24,Male
work for a medium-sized company,18000,30000,To change careers,5,0,25,Female
work for a medium-sized company,2000,10000,To start a business or to freelance,5,0,22,Male
work for a medium-sized company,16800,40000,To change careers,1,0,21,Female
work for a medium-sized company,36000,45000,To succeed in current career,24,0,28,Male
work for a multinational corporation,5000,50000,To change careers,6,0,22,Male
work for a startup,50000,80000,To change careers,25,0,50,Male
work for a multinational corporation,3314,2000,To change careers,12,0,22,Female
work for a government,43000,50000,As a hobby,1,0,29,Female
work for a medium-sized company,0,50,To create art or entertainment,0,0,18,Female
work for a startup,200,50000,To succeed in current career,1,0,25,Male
work for a startup,53000,70000,To change careers,0,0,44,Male
work for a startup,15000,30000,To change careers,1,0,21,Male
work for a medium-sized company,3000,6000,To change careers,36,0,27,Female
work for a medium-sized company,25000,28000,To change careers,3,0,43,Male
work for a multinational corporation,400,36000,To change careers,4,0,23,Male
work for a government,5000,15000,To change careers,12,0,33,Male
work for a medium-sized company,14000,15000,To create art or entertainment,1,0,28,Male
work for a medium-sized company,140000,120000,To change careers,2,0,42,Male
work for a multinational corporation,43000,60000,To change careers,3,0,25,Female
work for a medium-sized company,23400,25000,To change careers,4,0,33,Female
work for a government,80000,80000,To change careers,1,0,34,Male
work for a multinational corporation,28000,60000,To change careers,100,0,34,Male
work for a medium-sized company,500,500,To succeed in current career,36,0,35,Male
work for a medium-sized company,5000,60000,To succeed in current career,46,0,22,Male
work for a nonprofit,52000,50000,To change careers,0,0,30,Male
work for a multinational corporation,7000,11000,To succeed in current career,3,0,21,Female
work for a startup,15000,50000,To start a business or to freelance,1,0,31,Male
work for a medium-sized company,35000,40000,To change careers,1,0,28,Male
work for a nonprofit,0,7000,To succeed in current career,15,0,23,Male
work for a medium-sized company,6500,6000,To change careers,1,0,23,Male
work for a nonprofit,5000,30000,To change careers,2,0,46,Male
work for a multinational corporation,2500,8300,To change careers,0,0,22,Female
work for a government,42000,60000,To create art or entertainment,5,0,22,Male
work for a multinational corporation,1000,20000,To start a business or to freelance,36,0,29,Male
work for a startup,55000,65000,To change careers,7,1,29,Female
work for a medium-sized company,45000,60000,To succeed in current career,3,0,30,Female
work for a medium-sized company,50000,75000,To change careers,8,0,30,Male
work for a medium-sized company,43280,75000,To change careers,1,0,31,Male
work for a multinational corporation,28000,100000,To succeed in current career,3,0,25,Female
work for a medium-sized company,40000,10000,As a hobby,2,0,48,Female
work for a medium-sized company,55000,80000,To change careers,0,0,28,Male
work for a medium-sized company,60000,90000,As a hobby,4,0,39,Female
work for a multinational corporation,45000,45000,To change careers,0,0,39,Male
work for a multinational corporation,40000,80000,To succeed in current career,6,0,27,Male
work for a multinational corporation,40000,80000,To start a business or to freelance,10,0,27,Male
work for a medium-sized company,12000,50000,To change careers,0,0,23,Male
work for a startup,11000,35000,To change careers,0,0,20,Male
work for a medium-sized company,90000,70000,To change careers,0,0,40,Male
work for a startup,30000,40000,To change careers,2,0,41,Male
work for a medium-sized company,15000,80000,To meet school requirements,48,0,23,Male
work for a startup,850000,80000,To succeed in current career,6,0,25,Male
work for a medium-sized company,1000,5500,To change careers,5,0,23,Male
work for a startup,25880,40000,To change careers,0,0,45,Male
work for a multinational corporation,7000,800,To succeed in current career,12,0,24,Male
work for a medium-sized company,43850,80000,To change careers,16,0,28,Male
work for a medium-sized company,12000,40000,To meet school requirements,12,0,21,Male
work for a nonprofit,61000,40000,To succeed in current career,24,0,53,Male
work for a medium-sized company,84000,100000,To succeed in current career,36,0,33,Male
work for a startup,36000,50000,To change careers,120,0,45,Male
work for a nonprofit,150000,130000,To succeed in current career,24,0,36,Male
work for a multinational corporation,27000,2800,To succeed in current career,3,0,23,Male
work for a government,10000,30000,As a hobby,0,0,18,Male
work for a medium-sized company,72000,75000,To succeed in current career,3,0,49,Male
work for a government,35000,50000,As a hobby,24,0,38,Male
work for a startup,20000,40000,As a hobby,3,0,29,Male
work for a medium-sized company,20000,50000,To change careers,18,0,24,Male
work for a medium-sized company,12000,1,To change careers,1,0,32,Female
work for a government,0,130000,To succeed in current career,60,0,41,Female
work for a multinational corporation,5000,70000,To change careers,0,0,22,Male
work for a medium-sized company,17442,50000,To change careers,2,0,23,Male
work for a medium-sized company,19000,55000,To change careers,2,0,25,Male
work for a medium-sized company,85000,75000,To change careers,3,0,45,Male
work for a nonprofit,90000,80000,To change careers,36,0,42,Male
work for a medium-sized company,12000,30000,To change careers,2,0,26,Female
work for a medium-sized company,50000,50000,To change careers,3,0,45,Female
work for a startup,45000,40000,To succeed in current career,0,0,31,Male
work for a nonprofit,0,80000,As a hobby,3,0,23,Male
work for a medium-sized company,20000,60000,To change careers,1,0,34,Female
work for a multinational corporation,43000,45000,To change careers,0,0,23,Male
work for a multinational corporation,76000,70000,To succeed in current career,0,0,41,Female
work for a medium-sized company,40000,65000,To change careers,0,0,25,Male
work for a startup,0,70000,To start a business or to freelance,2,0,29,Male
work for a nonprofit,7000,40000,To change careers,2,0,38,Female
work for a startup,12000,80000,To create art or entertainment,0,0,32,Male
work for a medium-sized company,2800,10000,As a hobby,3,0,24,Male
work for a nonprofit,40000,50000,To change careers,3,0,39,Male
work for a medium-sized company,12000,1000,To succeed in current career,2,0,31,Male
work for a medium-sized company,4500,8000,To change careers,5,0,38,Male
work for a nonprofit,12000,0,As a hobby,12,0,58,Male
work for a nonprofit,0,1000,To succeed in current career,50,0,25,Male
work for a medium-sized company,65000,65000,To change careers,1,0,30,Male
work for a multinational corporation,4000,100000,To start a business or to freelance,40,0,31,Male
work for a medium-sized company,6000,6000,To change careers,1,0,36,Male
work for a nonprofit,15000,30000,To change careers,3,0,35,Female
work for a medium-sized company,10000,13000,To change careers,0,0,30,Male
work for a multinational corporation,40000,30000,To change careers,6,0,38,Male
work for a startup,3000,40000,To create art or entertainment,6,0,29,Male
work for a medium-sized company,3000,10000,To change careers,2,0,33,Male
work for a medium-sized company,7000,65000,To start a business or to freelance,10,0,23,Male
work for a multinational corporation,4130,333000,To succeed in current career,12,0,24,Female
work for a nonprofit,26000,80000,To change careers,6,0,27,Male
work for a government,3000,30000,As a hobby,0,0,20,Male
work for a multinational corporation,8000,20000,To change careers,15,0,32,Male
work for a startup,20000,60000,To change careers,12,1,45,Female
work for a medium-sized company,65000,65000,To change careers,1,0,25,Male
work for a medium-sized company,43000,50000,To change careers,12,0,28,Male
work for a multinational corporation,66000,75000,To succeed in current career,0,0,29,Male
work for a government,28000,60000,To succeed in current career,2,0,28,Male
work for a government,23000,25000,To change careers,0,0,38,Male
work for a medium-sized company,57000,65000,To change careers,1,0,26,Female
work for a medium-sized company,25000,50000,To change careers,0,0,26,Male
work for a multinational corporation,50000,80000,To change careers,2,0,32,Male
work for a medium-sized company,58,58,To change careers,5,0,48,Male
work for a medium-sized company,103000,900000,As a hobby,2,0,32,Female
work for a startup,30000,45000,To change careers,4,1,27,Female
work for a startup,20000,57000,To change careers,0,0,27,Female
work for a multinational corporation,66000,90000,To change careers,0,0,32,Female
work for a medium-sized company,10000,50000,To change careers,12,0,44,Male
work for a medium-sized company,19000,20000,To change careers,38,0,28,Male
work for a startup,75000,70000,To change careers,5,0,43,Female
work for a medium-sized company,15000,30000,To succeed in current career,36,0,21,Male
work for a medium-sized company,18000,36000,To change careers,0,0,27,Male
work for a startup,60000,40000,To change careers,1,0,35,Male
work for a medium-sized company,25000,55000,To change careers,3,0,29,Female
work for a medium-sized company,0,20000,To change careers,0,0,18,Male
work for a medium-sized company,35000,70000,To change careers,1,0,25,Male
work for a medium-sized company,50000,60000,To change careers,1,0,32,Male
work for a medium-sized company,90000,80000,To change careers,1,0,32,Male
work for a medium-sized company,20000,30000,To change careers,0,0,29,Male
work for a medium-sized company,5000,50000,To start a business or to freelance,20,0,22,Male
work for a multinational corporation,0,4000,As a hobby,60,0,23,Male
work for a medium-sized company,58000,65000,To change careers,2,0,36,Male
work for a multinational corporation,52000,50000,To change careers,7,0,30,Female
work for a medium-sized company,10000,25000,To change careers,8,0,32,Male
work for a medium-sized company,45000,60000,To change careers,12,0,32,Male
work for a medium-sized company,43000,60000,To change careers,1,0,43,Male
work for a multinational corporation,0,50000,To succeed in current career,3,0,19,Male
work for a startup,4500,50000,To change careers,20,0,30,Male
work for a multinational corporation,0,0,To change careers,2,0,22,Male
work for a multinational corporation,12000,300,To start a business or to freelance,12,0,32,Male
work for a multinational corporation,12000,70000,To succeed in current career,3,0,26,Male
work for a startup,4500,25000,As a hobby,1,0,30,Male
work for a startup,0,10000,To change careers,10,0,29,Female
work for a medium-sized company,3000,35000,To create art or entertainment,1,0,24,Male
work for a startup,15000,1500,To change careers,2,0,23,Male
work for a multinational corporation,85000,90000,To change careers,0,0,32,Female
work for a nonprofit,35000,40000,To change careers,0,0,27,Female
work for a medium-sized company,10000,18000,To succeed in current career,6,0,31,Male
work for a medium-sized company,39520,70000,To change careers,0,0,28,Female
work for a government,30000,22,To change careers,1,0,26,Male
work for a government,110000,65000,To change careers,5,0,34,Male
work for a medium-sized company,42000,30000,To change careers,1,0,42,Male
work for a medium-sized company,0,20000,To succeed in current career,24,0,41,Male
work for a multinational corporation,850,5000,To change careers,8,0,36,Male
work for a nonprofit,35000,0,As a hobby,0,0,57,Female
work for a medium-sized company,30000,40000,To start a business or to freelance,6,0,30,Male
work for a medium-sized company,4000,500,As a hobby,15,0,34,Male
work for a multinational corporation,30000,36000,To change careers,0,0,34,Male
work for a government,30000,60000,To succeed in current career,6,0,24,Female
work for a medium-sized company,23000,30000,To change careers,6,0,28,Male
work for a multinational corporation,20000,12000,To start a business or to freelance,1,0,28,Male
work for a startup,20000,24000,To change careers,3,0,28,Male
work for a startup,10000,9000,To change careers,1,0,29,Male
work for a multinational corporation,0,60000,To meet school requirements,0,0,16,Female
work for a startup,26000,20000,To create art or entertainment,0,0,19,Male
work for a medium-sized company,55000,67000,To change careers,3,0,33,Female
work for a multinational corporation,24000,50000,To create art or entertainment,4,0,25,Female
work for a government,15000,60000,To change careers,1,0,24,Male
work for a multinational corporation,40000,50000,To change careers,1,0,31,Male
work for a multinational corporation,38000,38000,To change careers,5,0,47,Male
work for a startup,23000,25000,To change careers,12,0,45,Male
work for a medium-sized company,5000,10000,To change careers,6,0,24,Male
work for a medium-sized company,10000,55000,To succeed in current career,12,0,23,Male
work for a medium-sized company,48000,50000,To succeed in current career,0,0,33,Male
work for a government,0,60000,To succeed in current career,5,0,21,Male
work for a government,850000,850000,To change careers,0,0,47,Male
work for a multinational corporation,1000,500,To succeed in current career,10,1,22,Female
work for a startup,34000,50000,To change careers,1,0,32,Male
work for a startup,140,50000,To succeed in current career,12,0,57,Male
work for a startup,35000,65000,To change careers,6,0,34,Male
work for a startup,20000,45000,To succeed in current career,4,0,27,Male
work for a medium-sized company,138000,60000,To change careers,2,0,23,Male
work for a multinational corporation,70000,60000,To change careers,4,0,38,Male
work for a startup,0,80000,As a hobby,0,0,22,Male
work for a startup,0,20000,To start a business or to freelance,10,0,21,Female
work for a medium-sized company,12000,100000,To succeed in current career,0,0,34,Male
work for a medium-sized company,21697,80000,To change careers,1,0,36,Male
work for a startup,30000,50000,To start a business or to freelance,24,0,30,Male
work for a government,50000,50000,To change careers,0,0,30,Male
work for a startup,20000,28000,To change careers,15,0,26,Male
work for a multinational corporation,45000,65000,To change careers,0,0,23,Male
work for a multinational corporation,40000,100000,To change careers,1,0,28,Male
work for a medium-sized company,5200,31723,To change careers,48,0,27,Male
work for a nonprofit,47000,65000,To change careers,3,0,22,Male
work for a medium-sized company,9000,40000,To change careers,9,0,25,Male
work for a medium-sized company,38000,75000,To change careers,1,0,35,Female
work for a medium-sized company,45000,50000,To succeed in current career,2,0,36,Female
work for a multinational corporation,16000,55000,To meet school requirements,0,0,23,Male
work for a medium-sized company,21300,25000,To change careers,12,0,29,Male
work for a medium-sized company,10000,40000,To change careers,6,0,37,Female
work for a medium-sized company,50000,1500,To change careers,1,0,42,Female
work for a medium-sized company,3150,600,To change careers,12,0,22,Female
work for a multinational corporation,3950,10000,To change careers,1,0,26,Male
work for a medium-sized company,85000,80000,To change careers,2,0,36,Male
work for a medium-sized company,15000,40000,To succeed in current career,24,0,26,Male
work for a medium-sized company,5000,30000,To change careers,2,0,23,Male
work for a medium-sized company,40000,60000,To change careers,0,0,31,Male
work for a medium-sized company,39000,40000,To change careers,1,0,39,Female
work for a startup,65000,70000,To change careers,0,0,34,Male
work for a medium-sized company,3000,50000,To change careers,24,0,27,Female
work for a multinational corporation,18000,50000,To succeed in current career,1,0,25,Male
work for a startup,55000,55000,To change careers,4,0,29,Male
work for a startup,300,1000000,To start a business or to freelance,15,0,23,Male
work for a multinational corporation,30000,60000,To succeed in current career,1,0,26,Male
work for a startup,1000,50000,To succeed in current career,24,0,20,Male
work for a multinational corporation,26000,60000,To change careers,0,0,26,Male
work for a multinational corporation,4000,5000,To change careers,1,0,34,Male
work for a medium-sized company,36000,55000,To succeed in current career,2,0,29,Male
work for a startup,2752,5000,To succeed in current career,6,0,27,Male
work for a startup,20000,80000,To create art or entertainment,2,0,21,Female
work for a startup,85000,70000,To change careers,2,0,24,Male
work for a medium-sized company,40000,30000,To change careers,12,0,39,Male
work for a medium-sized company,12000,40000,To succeed in current career,0,0,22,Male
work for a startup,60000,0,To change careers,1,0,33,Male
work for a startup,0,6000,To change careers,10,1,19,Male
work for a medium-sized company,35000,50000,To create art or entertainment,2,0,25,Female
work for a medium-sized company,30000,23000,To change careers,1,0,25,Male
work for a multinational corporation,600,500,To start a business or to freelance,6,0,26,Male
work for a medium-sized company,35000,75000,To succeed in current career,1,0,27,Male
work for a medium-sized company,3600,10000,To change careers,5,0,30,Male
work for a medium-sized company,0,20000,As a hobby,0,0,16,Male
work for a government,25000,35000,To succeed in current career,5,0,38,Male
work for a medium-sized company,26000,40000,To change careers,3,0,30,Male
work for a medium-sized company,2800,60000,To succeed in current career,18,0,27,Male
work for a medium-sized company,0,50000,To change careers,3,0,24,Male
work for a medium-sized company,20000,30000,To change careers,6,0,27,Female
work for a multinational corporation,60000,80000,To succeed in current career,1,0,31,Male
work for a startup,20000,20000,To change careers,1,0,32,Female
